ก,e0 b8 81,THAI CHARACTER KO KAI
ข,e0 b8 82,THAI CHARACTER KHO KHAI
ค,e0 b8 84,THAI CHARACTER KHO KHWAI
ฆ,e0 b8 86,THAI CHARACTER KHO RAKHANG
ง,e0 b8 87,THAI CHARACTER NGO NGU
จ,e0 b8 88,THAI CHARACTER CHO CHAN
ฉ,e0 b8 89,THAI CHARACTER CHO CHING
ช,e0 b8 8a,THAI CHARACTER CHO CHANG
ซ,e0 b8 8b,THAI CHARACTER SO SO
ฌ,e0 b8 8c,THAI CHARACTER CHO CHOE
ญ,e0 b8 8d,THAI CHARACTER YO YING
ฎ,e0 b8 8e,THAI CHARACTER DO CHADA
ฏ,e0 b8 8f,THAI CHARACTER TO PATAK
ฐ,e0 b8 90,THAI CHARACTER THO THAN
ฑ,e0 b8 91,THAI CHARACTER THO NANGMONTHO
ฒ,e0 b8 92,THAI CHARACTER THO PHUTHAO
ณ,e0 b8 93,THAI CHARACTER NO NEN
ด,e0 b8 94,THAI CHARACTER DO DEK
ต,e0 b8 95,THAI CHARACTER TO TAO
ถ,e0 b8 96,THAI CHARACTER THO THUNG
ท,e0 b8 97,THAI CHARACTER THO THAHAN
ธ,e0 b8 98,THAI CHARACTER THO THONG
น,e0 b8 99,THAI CHARACTER NO NU
บ,e0 b8 9a,THAI CHARACTER BO BAIMAI
ป,e0 b8 9b,THAI CHARACTER PO PLA
ผ,e0 b8 9c,THAI CHARACTER PHO PHUNG
ฝ,e0 b8 9d,THAI CHARACTER FO FA
พ,e0 b8 9e,THAI CHARACTER PHO PHAN
ฟ,e0 b8 9f,THAI CHARACTER FO FAN
ภ,e0 b8 a0,THAI CHARACTER PHO SAMPHAO
ม,e0 b8 a1,THAI CHARACTER MO MA
ย,e0 b8 a2,THAI CHARACTER YO YAK
ร,e0 b8 a3,THAI CHARACTER RO RUA
ฤ,e0 b8 a4,THAI CHARACTER RU
ล,e0 b8 a5,THAI CHARACTER LO LING
ว,e0 b8 a7,THAI CHARACTER WO WAEN
ศ,e0 b8 a8,THAI CHARACTER SO SALA
ษ,e0 b8 a9,THAI CHARACTER SO RUSI
ส,e0 b8 aa,THAI CHARACTER SO SUA
ห,e0 b8 ab,THAI CHARACTER HO HIP
ฬ,e0 b8 ac,THAI CHARACTER LO CHULA
อ,e0 b8 ad,THAI CHARACTER O ANG
ฮ,e0 b8 ae,THAI CHARACTER HO NOKHUK
ะ,e0 b8 b0,THAI CHARACTER SARA A
ั,e0 b8 b1,THAI CHARACTER MAI HAN-AKAT
า,e0 b8 b2,THAI CHARACTER SARA AA
ำ,e0 b8 b3,THAI CHARACTER SARA AM
ิ,e0 b8 b4,THAI CHARACTER SARA I
ี,e0 b8 b5,THAI CHARACTER SARA II
ึ,e0 b8 b6,THAI CHARACTER SARA UE
ื,e0 b8 b7,THAI CHARACTER SARA UEE
ุ,e0 b8 b8,THAI CHARACTER SARA U
ู,e0 b8 b9,THAI CHARACTER SARA UU
เ,e0 b9 80,THAI CHARACTER SARA E
แ,e0 b9 81,THAI CHARACTER SARA AE
โ,e0 b9 82,THAI CHARACTER SARA O
ใ,e0 b9 83,THAI CHARACTER SARA AI MAIMUAN
ไ,e0 b9 84,THAI CHARACTER SARA AI MAIMALAI
ๅ,e0 b9 85,THAI CHARACTER LAKKHANGYAO
็,e0 b9 87,THAI CHARACTER MAITAIKHU
่,e0 b9 88,THAI CHARACTER MAI EK
้,e0 b9 89,THAI CHARACTER MAI THO
๊,e0 b9 8a,THAI CHARACTER MAI TRI
๋,e0 b9 8b,THAI CHARACTER MAI CHATTAWA
์,e0 b9 8c,THAI CHARACTER THANTHAKHAT
